iter	Logloss	CrossEntropy
0	0.5276542208	0.5276542208
1	0.4500476162	0.4500476162
2	0.4169532515	0.4169532515
3	0.3984558736	0.3984558736
4	0.3857348082	0.3857348082
5	0.3693783037	0.3693783037
6	0.3575576111	0.3575576111
7	0.3505637078	0.3505637078
8	0.346060047	0.346060047
9	0.3430554145	0.3430554145
10	0.3390477691	0.3390477691
11	0.3297597234	0.3297597234
12	0.3250154059	0.3250154059
13	0.3228199159	0.3228199159
14	0.3167361551	0.3167361551
15	0.3154185353	0.3154185353
16	0.3117069572	0.3117069572
17	0.3102486569	0.3102486569
18	0.3054045522	0.3054045522
19	0.3037930793	0.3037930793
20	0.301001746	0.301001746
21	0.2993683731	0.2993683731
22	0.2978956207	0.2978956207
23	0.2943021326	0.2943021326
24	0.2933894112	0.2933894112
25	0.2919593285	0.2919593285
26	0.2906146145	0.2906146145
27	0.2898529773	0.2898529773
28	0.2888228609	0.2888228609
29	0.2879399753	0.2879399753
30	0.2872167484	0.2872167484
31	0.2863271384	0.2863271384
32	0.2850930374	0.2850930374
33	0.2843837284	0.2843837284
34	0.2836352957	0.2836352957
35	0.2827786422	0.2827786422
36	0.2813819936	0.2813819936
37	0.2808510225	0.2808510225
38	0.279803653	0.279803653
39	0.2783675804	0.2783675804
40	0.275498541	0.275498541
41	0.2748590284	0.2748590284
42	0.2737945196	0.2737945196
43	0.2730770736	0.2730770736
44	0.2724297405	0.2724297405
45	0.271296777	0.271296777
46	0.2705357177	0.2705357177
47	0.2703094587	0.2703094587
48	0.2695030445	0.2695030445
49	0.2689896241	0.2689896241
50	0.2685195269	0.2685195269
51	0.2673568516	0.2673568516
52	0.2658398934	0.2658398934
53	0.2647601355	0.2647601355
54	0.2638491683	0.2638491683
55	0.2627915497	0.2627915497
56	0.2620241153	0.2620241153
57	0.2611914073	0.2611914073
58	0.2607830568	0.2607830568
59	0.2599970789	0.2599970789
60	0.2595200128	0.2595200128
61	0.2588301729	0.2588301729
62	0.2586187093	0.2586187093
63	0.258008221	0.258008221
64	0.2577589544	0.2577589544
65	0.2569597186	0.2569597186
66	0.2561948263	0.2561948263
67	0.2556898462	0.2556898462
68	0.2554745112	0.2554745112
69	0.2545516012	0.2545516012
70	0.2541501127	0.2541501127
71	0.2539987885	0.2539987885
72	0.2538401063	0.2538401063
73	0.2534528558	0.2534528558
74	0.2519241208	0.2519241208
75	0.2516702515	0.2516702515
76	0.2510853605	0.2510853605
77	0.2504670032	0.2504670032
78	0.2500020942	0.2500020942
79	0.2494022358	0.2494022358
80	0.2488884292	0.2488884292
81	0.2485687928	0.2485687928
82	0.2482332025	0.2482332025
83	0.2480765717	0.2480765717
84	0.2474877771	0.2474877771
