iter	Passed	Remaining
0	167	167581
1	200	99926
2	263	87478
3	304	75708
4	332	66204
5	364	60304
6	401	56913
7	435	54047
8	468	51533
9	496	49196
10	531	47799
11	559	46033
12	588	44705
13	619	43610
14	675	44350
15	706	43429
16	736	42564
17	765	41788
18	794	41017
19	823	40331
20	852	39743
21	878	39051
22	907	38567
23	933	37978
24	963	37567
25	992	37179
26	1022	36849
27	1053	36575
28	1081	36199
29	1107	35806
30	1132	35386
31	1157	35020
32	1182	34653
33	1207	34319
34	1235	34051
35	1259	33725
36	1283	33416
37	1309	33156
38	1337	32957
39	1361	32677
40	1386	32429
41	1409	32151
42	1435	31949
43	1461	31745
44	1487	31569
45	1515	31438
46	1551	31460
47	1583	31415
48	1617	31387
49	1649	31345
50	1679	31245
51	1712	31217
52	1744	31174
53	1774	31089
54	1805	31029
55	1834	30925
56	1861	30792
57	1885	30619
58	1911	30485
59	1937	30347
60	1963	30231
61	1990	30111
62	2018	30025
63	2045	29909
64	2067	29746
65	2093	29628
66	2117	29493
67	2144	29388
68	2169	29276
69	2195	29174
70	2224	29103
71	2250	29009
72	2275	28901
73	2299	28779
74	2327	28707
75	2376	28892
76	2410	28890
77	2437	28810
78	2463	28723
79	2490	28635
80	2514	28532
81	2538	28415
82	2561	28303
83	2585	28193
84	2610	28105
85	2636	28022
86	2661	27926
87	2684	27819
88	2710	27746
89	2736	27667
90	2761	27583
91	2786	27503
92	2809	27395
93	2834	27323
94	2861	27256
95	2888	27200
96	2924	27226
97	2963	27271
98	2996	27274
99	3028	27253
100	3062	27256
101	3093	27235
102	3122	27190
103	3151	27154
104	3183	27135
105	3212	27096
106	3240	27044
107	3267	26984
108	3293	26922
109	3324	26894
110	3356	26884
111	3391	26887
112	3424	26881
113	3464	26924
114	3500	26938
115	3538	26963
116	3574	26974
117	3610	26987
118	3647	27005
119	3676	26959
120	3705	26917
121	3733	26867
122	3762	26825
123	3790	26779
124	3818	26729
125	3847	26691
126	3874	26636
127	3904	26596
128	3933	26556
129	3966	26544
130	4003	26556
131	4035	26539
132	4064	26494
133	4096	26477
134	4129	26461
135	4160	26431
136	4192	26411
137	4223	26379
138	4250	26329
139	4278	26280
140	4309	26257
141	4334	26191
142	4361	26137
143	4388	26085
144	4413	26024
145	4440	25973
146	4469	25935
147	4495	25881
148	4520	25820
149	4548	25773
150	4575	25724
151	4600	25665
152	4625	25607
153	4650	25549
154	4676	25492
155	4701	25438
156	4727	25383
157	4752	25327
158	4778	25274
159	4804	25225
160	4830	25170
161	4855	25114
162	4882	25071
163	4909	25024
164	4937	24986
165	4965	24948
166	4990	24895
167	5017	24849
168	5043	24800
169	5072	24764
170	5100	24726
171	5126	24677
172	5150	24622
173	5177	24577
174	5203	24532
175	5229	24485
176	5256	24439
177	5285	24408
178	5311	24363
179	5338	24320
180	5366	24282
181	5387	24216
182	5418	24190
183	5445	24148
184	5472	24107
185	5498	24065
186	5526	24027
187	5552	23981
188	5578	23938
189	5607	23903
190	5632	23859
191	5659	23816
192	5685	23773
193	5712	23732
194	5738	23689
195	5767	23656
196	5792	23610
197	5818	23568
198	5844	23526
199	5872	23488
200	5897	23444
201	5924	23403
202	5950	23361
203	5979	23332
204	6007	23295
205	6033	23256
206	6060	23218
207	6087	23180
208	6114	23142
209	6141	23105
210	6168	23065
211	6195	23026
212	6222	22991
213	6247	22944
214	6272	22901
215	6300	22867
216	6325	22823
217	6351	22784
218	6379	22750
219	6405	22710
220	6430	22668
221	6455	22621
222	6480	22579
223	6504	22534
